src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,fwd_iat_min,tot_fwd_pkts,fwd_seg_size_min,target,
192.168.1.222,192.168.40.20,61144,1883,6,45.53794861,0,1,20,0,
192.168.1.251,192.168.40.20,62448,1883,6,48.39897156,0,1,20,0,
192.168.1.171,192.168.40.20,45800,1883,6,41.00799561,0,1,20,0,
192.168.1.108,192.168.40.20,1354,1883,6,75.10185242,0,1,20,0,
192.168.1.55,192.168.40.20,5083,1883,6,97.99003601,0,1,20,0,
192.168.1.129,192.168.40.20,53646,1883,6,120.639801,0,1,20,0,
192.168.1.241,192.168.40.20,26643,1883,6,143.5279846,0,1,20,0,
192.168.1.17,192.168.40.20,10825,1883,6,165.4624939,0,1,20,0,
192.168.1.2,192.168.40.20,20662,1883,6,186.2049103,0,1,20,0,
192.168.1.137,192.168.40.20,36910,1883,6,207.1857452,0,1,20,0,
192.168.1.251,192.168.40.20,23186,1883,6,17.64297485,0,1,20,0,
192.168.1.86,192.168.40.20,33318,1883,6,44.82269287,0,1,20,0,
192.168.1.205,192.168.40.20,6321,1883,6,66.04194641,0,1,20,0,
192.168.1.165,192.168.40.20,2744,1883,6,92.02957153,0,1,20,0,
192.168.1.39,192.168.40.20,9846,1883,6,113.7256622,0,1,20,0,
192.168.1.226,192.168.40.20,10552,1883,6,137.090683,0,1,20,0,
192.168.1.190,192.168.40.20,49493,1883,6,161.8862152,0,1,20,0,
192.168.1.3,192.168.40.20,9345,1883,6,183.8207245,0,1,20,0,
192.168.1.113,192.168.40.20,33337,1883,6,12.87460327,0,1,20,0,
192.168.1.20,192.168.40.20,44053,1883,6,54.59785461,0,1,20,0,
192.168.1.43,192.168.40.20,36950,1883,6,19.31190491,0,1,20,0,
192.168.1.120,192.168.40.20,39303,1883,6,49.35264587,0,1,20,0,
192.168.1.57,192.168.40.20,31466,1883,6,73.43292236,0,1,20,0,
192.168.1.124,192.168.40.20,61536,1883,6,95.8442688,0,1,20,0,
192.168.1.114,192.168.40.20,39995,1883,6,119.2092896,0,1,20,0,
192.168.1.89,192.168.40.20,20330,1883,6,140.1901245,0,1,20,0,
192.168.1.193,192.168.40.20,17952,1883,6,162.1246338,0,1,20,0,
192.168.1.29,192.168.40.20,49824,1883,6,186.2049103,0,1,20,0,
192.168.1.60,192.168.40.20,11327,1883,6,14.30511475,0,1,20,0,
192.168.1.132,192.168.40.20,8663,1883,6,20.02716064,0,1,20,0,
192.168.1.35,192.168.40.20,51224,1883,6,52.4520874,0,1,20,0,
192.168.1.68,192.168.40.20,54483,1883,6,74.86343384,0,1,20,0,
192.168.1.252,192.168.40.20,20416,1883,6,96.32110596,0,1,20,0,
192.168.1.78,192.168.40.20,53000,1883,6,0,0,1,20,0,
192.168.1.203,192.168.40.20,17523,1883,6,0,0,1,20,0,
192.168.1.203,192.168.40.20,12408,1883,6,69.37980652,0,1,20,0,
192.168.1.114,192.168.40.20,2429,1883,6,112.0567322,0,1,20,0,
192.168.1.228,192.168.40.20,40350,1883,6,128.5076141,0,1,20,0,
192.168.1.36,192.168.40.20,5675,1883,6,55.78994751,0,1,20,0,
192.168.1.149,192.168.40.20,3679,1883,6,0,0,1,20,0,
192.168.1.243,192.168.40.20,30885,1883,6,63.65776062,0,1,20,0,
192.168.1.90,192.168.40.20,59549,1883,6,105.6194305,0,1,20,0,
192.168.1.187,192.168.40.20,23392,1883,6,71.52557373,0,1,20,0,
192.168.1.69,192.168.40.20,42398,1883,6,113.0104065,0,1,20,0,
192.168.1.223,192.168.40.20,14518,1883,6,132.3223114,0,1,20,0,
192.168.1.164,192.168.40.20,18251,1883,6,148.0579376,0,1,20,0,
192.168.1.178,192.168.40.20,28056,1883,6,50.30632019,0,1,20,0,
192.168.1.111,192.168.40.20,26993,1883,6,95.36743164,0,1,20,0,
192.168.1.230,192.168.40.20,39496,1883,6,115.3945923,0,1,20,0,
192.168.1.30,192.168.40.20,20493,1883,6,56.02836609,0,1,20,0,
192.168.1.162,192.168.40.20,3443,1883,6,108.0036163,0,1,20,0,
192.168.1.102,192.168.40.20,37762,1883,6,144.9584961,0,1,20,0,
192.168.1.40,192.168.40.20,35446,1883,6,0,0,1,20,0,
192.168.1.214,192.168.40.20,7622,1883,6,55.55152893,0,1,20,0,
192.168.1.111,192.168.40.20,28784,1883,6,44.58427429,0,1,20,0,
192.168.1.170,192.168.40.20,17883,1883,6,25.74920654,0,1,20,0,
192.168.1.227,192.168.40.20,32349,1883,6,52.69050598,0,1,20,0,
192.168.1.111,192.168.40.20,47156,1883,6,65.08827209,0,1,20,0,
192.168.1.93,192.168.40.20,5017,1883,6,68.66455078,0,1,20,0,
192.168.1.186,192.168.40.20,8051,1883,6,52.21366882,0,1,20,0,
192.168.1.83,192.168.40.20,47455,1883,6,41.48483276,0,1,20,0,
192.168.1.162,192.168.40.20,14799,1883,6,16.21246338,0,1,20,0,
192.168.1.14,192.168.40.20,48607,1883,6,51.25999451,0,1,20,0,
192.168.1.179,192.168.40.20,48410,1883,6,61.98883057,0,1,20,0,
192.168.1.81,192.168.40.20,7576,1883,6,54.59785461,0,1,20,0,
192.168.1.238,192.168.40.20,6077,1883,6,47.9221344,0,1,20,0,
192.168.1.189,192.168.40.20,16083,1883,6,42.91534424,0,1,20,0,
